Table_Name,Field_Name,Field_Datatype,Occurance (number),Occurance (Percentage),Samples_from_field,Description_table,Row_Description,Generated_At,LLM_Response,LLM_Answered_At
Product,Category,String,397,100.0%,Components | Accessories | Clothing,"This table stores product-related data such as product keys, names, SKUs, pricing, colors, models, and categories.","The ""Category"" field within the ""Product"" table is a string type that stores product categories, with possible values including 'Components', 'Accessories', and 'Clothing'.",2025-06-24 16:52:07,Timeout,2025-06-24 17:06:33
Reseller,ResellerKey,Numeric,702,100.0%,-1 | 1 | 2,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ResellerKey field in the Reseller table is a numeric identifier that can take values like -1, 1, or 2 to uniquely identify different resellers within the system.",2025-06-24 16:52:25,Timeout,2025-06-24 17:06:33
Reseller,Reseller ID,String,702,100.0%,[Not Applicable] | AW00000001 | AW00000002,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Reseller ID"" field in the ""Reseller"" table is a string datatype used to uniquely identify each reseller, with values like 'AW00000001' and 'AW00000002'.",2025-06-24 16:52:49,Timeout,2025-06-24 17:06:33
Reseller,Business Type,String,702,100.0%,[Not Applicable] | Value Added Reseller | Specialty Bike Shop,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Business Type"" field for the ""Reseller"" table is a string datatype that stores the type of business, such as Not Applicable, Value Added Reseller, or Specialty Bike Shop.",2025-06-24 16:53:09,Timeout,2025-06-24 17:06:33
Reseller,Reseller,String,702,100.0%,[Not Applicable] | A Bike Store | Progressive Sports,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Reseller"" field in the ""Reseller"" table is a string data type that stores the name of the reseller, such as ""A Bike Store"" or ""Progressive Sports"".",2025-06-24 16:53:26,Timeout,2025-06-24 17:06:33
Reseller,City,String,702,100.0%,[Not Applicable] | Seattle | Renton,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""City"" field in the ""Reseller"" table is a string type that stores the city location of various resellers, with sample values including ""Seattle"" and ""Renton"".",2025-06-24 16:53:45,Timeout,2025-06-24 17:06:33
Reseller,State-Province,String,702,100.0%,[Not Applicable] | Washington | Texas,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""State-Province"" field in the ""Reseller"" table is a string type data field that holds geographical location values, such as Washington or Texas.",2025-06-24 16:54:02,Timeout,2025-06-24 17:06:33
Reseller,Country-Region,String,702,100.0%,[Not Applicable] | United States | Canada,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Country-Region"" field in the ""Reseller"" table is a string datatype that stores the geographical location of the reseller, with possible values including ""Not Applicable"", ""United States"", and ""Canada"".",2025-06-24 16:54:22,Timeout,2025-06-24 17:06:33
Reseller,Postal Code,String,702,100.0%,[Not Applicable] | 98104 | 98055,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Postal Code"" field in the ""Reseller"" table is a string data type that stores postal codes, such as '98104' and '98055', used for geographical identification purposes.",2025-06-24 16:54:44,Timeout,2025-06-24 17:06:33
Sales,SalesOrderLineKey,Numeric,121253,100.0%,43659001 | 43659002 | 43659003,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""SalesOrderLineKey"" field in the ""Sales"" table is a numeric identifier for each unique sales order line item, with examples being 43659001, 43659002, and 43659003.",2025-06-24 16:55:12,Timeout,2025-06-24 17:06:33
Sales,ResellerKey,Numeric,121253,100.0%,676 | 117 | 442,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""ResellerKey"" field in the ""Sales"" table is a numeric data type that stores unique identifiers for different resellers involved in sales transactions, such as values like 676, 117, and 442.",2025-06-24 16:55:32,Timeout,2025-06-24 17:06:33
Sales,CustomerKey,Numeric,121253,100.0%,-1 | 21768 | 28389,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""CustomerKey"" field in the ""Sales"" table is a numeric data type that uniquely identifies each customer involved in sales transactions, as shown by sample values such as -1, 21768, and 28389.",2025-06-24 16:55:59,Timeout,2025-06-24 17:06:33
Sales,ProductKey,Numeric,121253,100.0%,349 | 350 | 351,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""ProductKey"" field within the ""Sales"" table is a numeric data type storing unique identifiers for each product, such as values 349, 350, and 351.",2025-06-24 16:56:22,Timeout,2025-06-24 17:06:33
Sales,OrderDateKey,Numeric,121253,100.0%,20170702 | 20170705 | 20170707,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","""OrderDateKey in the Sales table is a numeric field representing the date of an order in YYYYMMDD format, such as July 2nd, 2017 being represented as 20170702.""",2025-06-24 16:56:52,Timeout,2025-06-24 17:06:33
Sales,DueDateKey,Numeric,121253,100.0%,20170712 | 20170715 | 20170717,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""DueDateKey"" field in the ""Sales"" table is a numeric representation of sales transaction due dates, formatted as YYYYMMDD (e.g., July 12, 2017 represented as 20170712).",2025-06-24 16:57:22,Timeout,2025-06-24 17:06:33
Sales,ShipDateKey,Numeric,119140,98.26%,20170709.0 | 20170712.0 | 20170714.0,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""ShipDateKey"" field in the ""Sales"" table is a numeric representation of shipping dates, where each value corresponds to Year-Month-Day (YYYYMMDD) format, for example: 20170709 represents July 9, 2017.",2025-06-24 16:57:48,Timeout,2025-06-24 17:06:33
Sales,SalesTerritoryKey,Numeric,121253,100.0%,5 | 6 | 4,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""SalesTerritoryKey"" numeric field in the ""Sales"" table represents unique identifiers for specific territories associated with each sale record.",2025-06-24 16:58:03,Timeout,2025-06-24 17:06:33
Sales,Order Quantity,Numeric,121253,100.0%,1 | 3 | 2,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Order Quantity"" field within the ""Sales"" table represents the number of items sold per order, and accepts only numerical values such as 1, 3, or 2.",2025-06-24 16:58:20,Timeout,2025-06-24 17:06:33
Sales,Unit Price,String,121253,100.0%,"$2,024.99 | $2,039.99 | $28.84","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Unit Price"" field in the ""Sales"" table is a string data type that stores prices of items for each sale, represented as US dollars and decimal points (e.g., ""$2,024.99"" or ""$2,039.99"").",2025-06-24 16:58:47,Timeout,2025-06-24 17:06:33
Sales,Extended Amount,String,121253,100.0%,"$2,024.99 | $6,074.98 | $2,039.99","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Extended Amount"" field in the ""Sales"" table contains formatted string values representing dollar amounts with decimal points for subtotals or totals of transactions.",2025-06-24 16:59:07,Timeout,2025-06-24 17:06:33
Sales,Unit Price Discount Pct,String,121253,100.0%,0.00%,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Unit Price Discount Pct"" field in the ""Sales"" table represents a string value that signifies the percentage of discount applied to the unit price in sales transactions, e.g., ""0.00%"".",2025-06-24 16:59:26,Timeout,2025-06-24 17:06:33
Sales,Product Standard Cost,String,121253,100.0%,"$1,898.09 | $1,912.15 | $31.72","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Product Standard Cost"" field within the ""Sales"" table is a mislabeled string data type that should hold numerical values representing the standard cost of each product, as evidenced by sample values such as $1,898.09, $1,912.15, and $31.72. It would be more appropriate for this field to use a numeric datatype instead.",2025-06-24 16:59:56,Timeout,2025-06-24 17:06:33
Sales,Total Product Cost,String,121253,100.0%,"$1,898.09 | $5,694.28 | $1,912.15","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Total Product Cost"" field in the ""Sales"" table stores string representations of the overall cost for a product, as shown by examples like ""$1,898.09"", ""$5,694.28"", and ""$1,912.15"".",2025-06-24 17:00:25,Timeout,2025-06-24 17:06:33
Sales,Sales Amount,String,121253,100.0%,"$2,024.99 | $6,074.98 | $2,039.99","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Sales Amount"" field in the ""Sales"" table is a string type that contains the dollar values of individual sales transactions.",2025-06-24 17:00:44,Timeout,2025-06-24 17:06:33
Salesorder,Channel,String,121253,100.0%,Reseller | Internet,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Channel"" field in the ""Salesorder"" table represents the method through which sales orders are received, and it can have values such as ""Reseller"" or ""Internet"".",2025-06-24 17:01:02,Timeout,2025-06-24 17:06:33
Salesorder,SalesOrderLineKey,Numeric,121253,100.0%,43659001 | 43659002 | 43659003,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""SalesOrderLineKey"" field in the ""Salesorder"" table is a numeric identifier for each individual line item within a sales order, with sample values like 43659001, 43659002, and 43659003.",2025-06-24 17:01:28,Timeout,2025-06-24 17:06:33
Salesorder,Sales Order,String,121253,100.0%,SO43659 | SO43660 | SO43661,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Sales Order"" field within the ""Salesorder"" table is a string datatype where each record stores unique identifiers, such as SO43659, SO43660, and SO43661, to represent individual sales orders.",2025-06-24 17:01:49,Timeout,2025-06-24 17:06:33
Salesorder,Sales Order Line,String,121253,100.0%,SO43659 - 1 | SO43659 - 2 | SO43659 - 3,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Sales Order Line"" field within the ""Salesorder"" table is a string datatype that stores unique identifiers for individual lines within a specific sales order, with each identifier having a format of ""SO[OrderNumber] - [LineNumber]"". Examples include SO43659 - 1, SO43659 - 2, and SO43659 - 3.",2025-06-24 17:02:29,Timeout,2025-06-24 17:06:33
Salesterriroty,SalesTerritoryKey,Numeric,11,100.0%,1 | 2 | 3,"This table provides information about sales territories, including region, country, and grouping data.","The ""SalesTerritoryKey"" field is a numeric identifier for sales territories within the ""SalesTerritory"" table, with possible values being 1, 2, or 3.",2025-06-24 17:02:54,Timeout,2025-06-24 17:06:33
Salesterriroty,Region,String,11,100.0%,Northwest | Northeast | Central,"This table provides information about sales territories, including region, country, and grouping data.","The ""Region"" field in the ""SalesTerritory"" table is a string data type that contains geographical divisions such as Northwest, Northeast, and Central.",2025-06-24 17:03:13,Timeout,2025-06-24 17:06:33
Salesterriroty,Country,String,11,100.0%,United States | Canada | France,"This table provides information about sales territories, including region, country, and grouping data.","The ""Country"" field in the ""Salesterriroty"" table is a string data type that holds the name of the country where sales are being made, with sample values including United States, Canada, and France.",2025-06-24 17:03:36,Timeout,2025-06-24 17:06:33
Salesterriroty,Group,String,11,100.0%,North America | Europe | Pacific,"This table provides information about sales territories, including region, country, and grouping data.","The ""Group"" field in the ""SalesTerritory"" table is a string datatype used to classify territories into geographical regions such as North America, Europe, or Pacific.",2025-06-24 17:03:58,Timeout,2025-06-24 17:06:33
