Table_Name,Field_Name,Field_Datatype,Occurance (number),Occurance (Percentage),Samples_from_field,Description_table,Row_Description
Sales,SalesOrderLineKey,Numeric,121253,100.0%,43659001 | 43659002 | 43659003,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""SalesOrderLineKey"" field in the ""Sales"" table is a numeric identifier for each individual line item within a sales order, with unique values like 43659001, 43659002, and 43659003."
Sales,ResellerKey,Numeric,121253,100.0%,676 | 117 | 442,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""ResellerKey"" numeric field within the ""Sales"" table represents unique identifiers for specific resellers involved in transactions."
Sales,CustomerKey,Numeric,121253,100.0%,-1 | 21768 | 28389,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""CustomerKey"" field in the ""Sales"" table is a numeric identifier for unique customers in the system, where negative values may not represent actual customers."
Sales,ProductKey,Numeric,121253,100.0%,349 | 350 | 351,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""ProductKey"" field in the ""Sales"" table is a numeric data type used to uniquely identify individual products within each sale transaction, with sample values such as 349, 350, and 351."
Sales,OrderDateKey,Numeric,121253,100.0%,20170702 | 20170705 | 20170707,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""OrderDateKey"" field within the ""Sales"" table is a numeric data type that stores dates as year-month-day combinations (e.g., '20170702' for July 2, 2017)."
Sales,DueDateKey,Numeric,121253,100.0%,20170712 | 20170715 | 20170717,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""DueDateKey"" field in the ""Sales"" table is a numeric type that stores dates in YYYYMMDD format, such as July 12, 2017 (20170712)."
Sales,ShipDateKey,Numeric,119140,98.26%,20170709.0 | 20170712.0 | 20170714.0,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","""The 'ShipDateKey' field within the 'Sales' table is a numeric data type representing dates for specific shipment occurrences, where each value represents the format of YYYYMMDD (e.g., 20170709 for July 9th, 2017)."""
Sales,SalesTerritoryKey,Numeric,121253,100.0%,5 | 6 | 4,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""SalesTerritoryKey"" numeric field in the ""Sales"" table represents unique identifiers for different sales territories, such as 5, 6, or 4."
Sales,Order Quantity,Numeric,121253,100.0%,1 | 3 | 2,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Order Quantity"" field within the ""Sales"" table is a numeric data type that represents the quantity of an item ordered for each transaction, with sample values like 1, 3, or 2."
Sales,Unit Price,String,121253,100.0%,"$2,024.99 | $2,039.99 | $28.84","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Unit Price"" field in the ""Sales"" table stores price values as strings rather than numbers and examples of its data include ""$2,024.99"", ""$2,039.99"", and ""$28.84""."
Sales,Extended Amount,String,121253,100.0%,"$2,024.99 | $6,074.98 | $2,039.99","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Extended Amount"" field in the ""Sales"" table is a string data type that stores formatted price values for transactions in US dollars."
Sales,Unit Price Discount Pct,String,121253,100.0%,0.00%,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Unit Price Discount Pct"" field in the ""Sales"" table represents the percentage of discount on unit price, stored as a string with a default value of 0.00%."
Sales,Product Standard Cost,String,121253,100.0%,"$1,898.09 | $1,912.15 | $31.72","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Product Standard Cost"" field in the ""Sales"" table stores string representations of the standard costs for products, as displayed by values like ""$1,898.09"", ""$1,912.15"", or ""$31.72""."
Sales,Total Product Cost,String,121253,100.0%,"$1,898.09 | $5,694.28 | $1,912.15","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Total Product Cost"" field in the ""Sales"" table is a mislabeled string datatype storing monetary values representing the total cost of products in US dollars (e.g., ""$1,898.09"", ""$5,694.28"", ""$1,912.15""). It should be corrected to the appropriate numeric data type for accurate calculations and analysis."
Sales,Sales Amount,String,121253,100.0%,"$2,024.99 | $6,074.98 | $2,039.99","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Sales Amount"" field in the ""Sales"" table is a string data type that contains formatted dollar amounts representing individual sale transactions."
Salesorder,Channel,String,121253,100.0%,Reseller | Internet,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Channel"" field in the ""Salesorder"" table is a string data type that categorizes the method of sale, with possible values including 'Reseller' or 'Internet'."
Salesorder,SalesOrderLineKey,Numeric,121253,100.0%,43659001 | 43659002 | 43659003,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""SalesOrderLineKey"" field within the ""Salesorder"" table is a numeric identifier for individual line items in each sales order, and it can take values such as 43659001, 43659002, or 43659003."
Salesorder,Sales Order,String,121253,100.0%,SO43659 | SO43660 | SO43661,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Sales Order"" field within the ""Salesorder"" table is a string data type that stores unique, identifiable codes for individual sales orders (e.g., SO43659, SO43660, SO43661)."
Salesorder,Sales Order Line,String,121253,100.0%,SO43659 - 1 | SO43659 - 2 | SO43659 - 3,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Sales Order Line"" field in the ""Salesorder"" table is a string data type that holds sequential, line-specific identifiers for each item within a single sales order, with sample values like ""SO43659 - 1"", ""SO43659 - 2"", and ""SO43659 - 3""."
Salesterriroty,SalesTerritoryKey,Numeric,11,100.0%,1 | 2 | 3,"This table provides information about sales territories, including region, country, and grouping data.","The ""SalesTerritoryKey"" field in the ""SalesTerritory"" table is a numeric type that uniquely identifies each sales territory with possible values being 1, 2, or 3."
Salesterriroty,Region,String,11,100.0%,Northwest | Northeast | Central,"This table provides information about sales territories, including region, country, and grouping data.","The ""Region"" field in the ""SalesTerritory"" table is a string data type that contains geographical regions such as Northwest, Northeast, and Central."
Salesterriroty,Country,String,11,100.0%,United States | Canada | France,"This table provides information about sales territories, including region, country, and grouping data.","The ""Country"" field within the ""SalesTerritory"" table is a string datatype that stores the name of countries like United States, Canada, or France in its entries."
Salesterriroty,Group,String,11,100.0%,North America | Europe | Pacific,"This table provides information about sales territories, including region, country, and grouping data.","The ""Group"" field in the ""SalesTerritory"" table is a string datatype storing geographical regions, with sample values including North America, Europe, and Pacific."
