Table_Name,Field_Name,Field_Datatype,Occurance (number),Occurance (Percentage),Samples_from_field,Description_table,Row_Description,Generated_At,Duration_Seconds
Reseller,Reseller,String,702,100.0%,[Not Applicable] | A Bike Store | Progressive Sports,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Reseller"" field, a string data type in the ""Reseller"" table, contains names of various resellers such as ""A Bike Store"" or ""Progressive Sports"".",2025-06-24 19:16:02,17.4
Reseller,City,String,702,100.0%,[Not Applicable] | Seattle | Renton,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""City"" field in the ""Reseller"" table is a string data type that stores the name of the city where the resellers are based, with examples including Seattle and Renton.",2025-06-24 19:16:22,19.91
Reseller,State-Province,String,702,100.0%,[Not Applicable] | Washington | Texas,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""State-Province"" field in the ""Reseller"" table is a string type column where values can be any recognized state or province name, such as Washington, Texas, etc., and Not Applicable can also be used when there's no specific location provided for the reseller.",2025-06-24 19:16:49,26.84
Reseller,Country-Region,String,702,100.0%,[Not Applicable] | United States | Canada,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Country-Region"" field in the ""Reseller"" table is a string datatype that allows specifying a country or region where the reseller operates, with examples including 'United States' and 'Canada'.",2025-06-24 19:17:09,20.31
Reseller,Postal Code,String,702,100.0%,[Not Applicable] | 98104 | 98055,"This table contains data about resellers, including IDs, business types, names, and their geographic information.","The ""Postal Code"" field in the ""Reseller"" table is a string data type that stores postal codes (e.g., 98104, 98055) to identify geographic locations of resellers.",2025-06-24 19:17:32,22.43
Sales,SalesOrderLineKey,Numeric,121253,100.0%,43659001 | 43659002 | 43659003,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The SalesOrderLineKey field in the Sales table is a numeric identifier, providing unique values such as 43659001, 43659002, and 43659003 for each line item in a sales order.",2025-06-24 19:17:56,24.76
Sales,ResellerKey,Numeric,121253,100.0%,676 | 117 | 442,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""ResellerKey"" field within the ""Sales"" table is a numeric data type used to uniquely identify individual resellers in sales transactions, with sample values including 676, 117, and 442.",2025-06-24 19:18:17,20.15
Sales,CustomerKey,Numeric,121253,100.0%,-1 | 21768 | 28389,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""CustomerKey"" field within the ""Sales"" table is a numeric data type that stores unique identifiers for individual customers.",2025-06-24 19:18:35,18.07
Sales,ProductKey,Numeric,121253,100.0%,349 | 350 | 351,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""ProductKey"" field in the ""Sales"" table is a numeric data type that uniquely identifies individual products, with examples being 349, 350, and 351.",2025-06-24 19:18:56,20.89
Sales,OrderDateKey,Numeric,121253,100.0%,20170702 | 20170705 | 20170707,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""OrderDateKey"" field in the ""Sales"" table is a numeric type that represents the date of an order, formatted as YYYYMMDD (e.g., '20170702' refers to July 2, 2017).",2025-06-24 19:19:21,25.21
Sales,DueDateKey,Numeric,121253,100.0%,20170712 | 20170715 | 20170717,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""DueDateKey"" field in the ""Sales"" table is a numeric type that stores dates in YYYYMMDD format, representing the due dates for sales transactions.",2025-06-24 19:19:48,27.09
Sales,ShipDateKey,Numeric,119140,98.26%,20170709.0 | 20170712.0 | 20170714.0,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""ShipDateKey"" field in the ""Sales"" table is a numeric representation of the shipment dates (YYYYMMDD format), such as July 9, 2017 (20170709) or July 14, 2017 (20170714).",2025-06-24 19:20:24,35.74
Sales,SalesTerritoryKey,Numeric,121253,100.0%,5 | 6 | 4,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""SalesTerritoryKey"" field within the ""Sales"" table is a numeric data type used to identify specific sales territories, with sample values including 5, 6, and 4.",2025-06-24 19:20:49,25.26
Sales,Order Quantity,Numeric,121253,100.0%,1 | 3 | 2,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Order Quantity"" field in the ""Sales"" table is a numeric field, and it records the number of items included in each order, with examples such as 1, 3, or 2.",2025-06-24 19:21:12,23.62
Sales,Unit Price,String,121253,100.0%,"$2,024.99 | $2,039.99 | $28.84","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Unit Price"" field in the ""Sales"" table stores string values representing the cost of individual units, using U.S. dollar currency notation ($xx.xx).",2025-06-24 19:21:36,23.91
Sales,Extended Amount,String,121253,100.0%,"$2,024.99 | $6,074.98 | $2,039.99","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Extended Amount"" field in the ""Sales"" table is a string datatype containing formatted monetary values representing the total cost for specific transactions.",2025-06-24 19:22:01,24.45
Sales,Unit Price Discount Pct,String,121253,100.0%,0.00%,"This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Unit Price Discount Pct"" field in the ""Sales"" table is a string type that stores the percentage of unit price discount, typically in the format like ""0.00%"".",2025-06-24 19:22:24,23.38
Sales,Product Standard Cost,String,121253,100.0%,"$1,898.09 | $1,912.15 | $31.72","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Product Standard Cost"" field in the ""Sales"" table is a string data type that contains the predefined cost of products in dollar amounts (e.g., ""$1,898.09"", ""$1,912.15"", ""$31.72"").",2025-06-24 19:23:04,40.24
Sales,Total Product Cost,String,121253,100.0%,"$1,898.09 | $5,694.28 | $1,912.15","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Total Product Cost"" field in the ""Sales"" table is a string data type that stores the monetary cost of a product in US dollars, as seen in examples such as ""$1,898.09"", ""$5,694.28"", and ""$1,912.15"".",2025-06-24 19:26:12,187.05
Sales,Sales Amount,String,121253,100.0%,"$2,024.99 | $6,074.98 | $2,039.99","This table records individual sales transactions, including customer, reseller, product, quantity, and pricing details.","The ""Sales Amount"" field in the ""Sales"" table is a string data type storing monetary values, such as ""$2,024.99"", ""$6,074.98"", or ""$2,039.99."" However, it is recommended that this field be stored as a decimal or numeric type for accurate calculations and analysis.",2025-06-24 19:26:44,32.65
Salesorder,Channel,String,121253,100.0%,Reseller | Internet,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Channel"" field in the ""SalesOrder"" table stores string values indicating the method through which a sales order was placed, with possible entries including 'Reseller' or 'Internet'.",2025-06-24 19:27:01,16.88
Salesorder,SalesOrderLineKey,Numeric,121253,100.0%,43659001 | 43659002 | 43659003,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""SalesOrderLineKey"" field in the ""Salesorder"" table is a numeric data type used to uniquely identify each line item within a specific sales order, with sample values such as 43659001, 43659002, and 43659003.",2025-06-24 19:27:28,27.31
Salesorder,Sales Order,String,121253,100.0%,SO43659 | SO43660 | SO43661,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Sales Order"" field in the ""Salesorder"" table is a string data type that contains unique identifiers for individual sales orders, with sample values like ""SO43659"", ""SO43660"", and ""SO43661"".",2025-06-24 19:27:50,21.97
Salesorder,Sales Order Line,String,121253,100.0%,SO43659 - 1 | SO43659 - 2 | SO43659 - 3,"This table includes details of sales orders, such as order IDs, sales channels, and order line information.","The ""Sales Order Line"" field in the ""Salesorder"" table is a string data type that stores individual line items for each sales order, represented as sub-orders with a common sales order number (e.g., SO43659 - 1, SO43659 - 2, etc.).",2025-06-24 19:28:16,25.48
Salesterriroty,SalesTerritoryKey,Numeric,11,100.0%,1 | 2 | 3,"This table provides information about sales territories, including region, country, and grouping data.","The SalesTerritoryKey field in the SalesTerritory table is a numeric data type used to uniquely identify each territory within the sales structure, with possible values being 1, 2, or 3.",2025-06-24 19:28:36,20.1
Salesterriroty,Region,String,11,100.0%,Northwest | Northeast | Central,"This table provides information about sales territories, including region, country, and grouping data.","The ""Region"" field in the ""Salesterriroty"" table is a string data type that allows entries of geographical regions such as Northwest, Northeast, or Central.",2025-06-24 19:28:53,17.53
Salesterriroty,Country,String,11,100.0%,United States | Canada | France,"This table provides information about sales territories, including region, country, and grouping data.","The ""Country"" field in the ""SalesTerritory"" table is a string datatype that stores the name of the country, with examples including United States, Canada, and France.",2025-06-24 19:29:10,16.47
Salesterriroty,Group,String,11,100.0%,North America | Europe | Pacific,"This table provides information about sales territories, including region, country, and grouping data.","The ""Group"" field in the ""SalesTerritory"" table is a categorical string variable representing the geographical regions, with sample values including North America, Europe, and Pacific.",2025-06-24 19:29:27,17.17
